idnum,lon,lat,dens.cvap.std,dens.work.std,popDens.std,prc.CarAccess.std,prc.ElNonReg.std,prc.disabled.std,prc.latino.std,prc.nonEngProf.std,prc.pov.std,prc.youth.std,rate.vbm.std,dens.poll.std,center_score,droppoff_score
1053,-158.11947,21.33216,0.051,0.99873,0.34305,0.21992,0.1823,0.8022,0.43491,0.06283,0.133,0.09017,0.63159,0.85362,0.39424,0.38659
1056,-158.0965,21.33225,0.12821,0.99,0.0,0.061,0.27247,0.93181,0.43336,0.57157,0.25204,0.53438,1.0,0.0,0.5062,0.4608
1058,-158.08118,21.33231,0.9931,0.0,0.0,0.11961,0.41378,0.15835,0.79473,0.24937,0.29938,0.64229,1.0,0.0,0.41713,0.3222
1059,-158.07353,21.33234,0.9931,0.92505,0.39603,0.11961,0.41378,0.15835,0.79473,0.24937,0.29938,0.64229,0.58467,0.83742,0.50096,0.41847
1060,-158.06587,21.33237,0.9931,0.0,0.89279,0.11961,0.41378,0.15835,0.79473,0.24937,0.29938,0.64229,0.58467,0.92054,0.46882,0.36469
1061,-158.05821,21.33241,0.9931,0.88786,0.39828,0.11961,0.41378,0.15835,0.79473,0.24937,0.29938,0.64229,0.58509,0.95365,0.51231,0.42782
1062,-158.05055,21.33244,0.9931,0.0,0.0,0.11961,0.41378,0.15835,0.79473,0.24937,0.29938,0.64229,1.0,0.0,0.36428,0.26935
1065,-158.02758,21.33252,0.53691,0.94238,0.8701,0.54776,0.73993,0.7126,0.70217,0.60707,0.33094,0.55424,0.4907,0.98929,0.62889,0.60042
1066,-158.01992,21.33255,0.60454,0.0,0.84742,0.11257,0.54029,0.4721,0.71795,0.50141,0.24162,0.39772,0.55114,0.9197,0.4693,0.40642
1067,-158.01226,21.33258,0.14779,0.0,0.74486,0.11257,0.551,0.4721,0.71795,0.50141,0.24162,0.39772,0.55114,0.72358,0.44197,0.38062
1108,-157.69829,21.33358,0.21189,0.0,0.58594,0.7102,0.0,0.82728,0.40279,0.01846,0.4452,0.51578,0.03691,0.35235,0.39951,0.30752
1130,-158.11951,21.33943,0.051,0.94505,0.40462,0.21992,0.1823,0.8022,0.43491,0.06283,0.133,0.09017,0.63159,0.98915,0.41909,0.40887
1131,-158.11185,21.33947,0.12821,0.92026,0.39532,0.061,0.27247,0.93181,0.43336,0.57157,0.25204,0.53438,0.63159,0.97901,0.56725,0.51049
1135,-158.08122,21.33959,0.79093,0.0,0.41829,0.26472,0.27402,0.55804,0.31544,0.73105,0.42251,0.74993,0.54424,0.93153,0.48265,0.40532
1136,-158.07356,21.33962,0.73767,0.0,0.0,0.55649,0.5534,0.49648,0.61074,0.49408,0.46351,0.35686,1.0,0.0,0.45334,0.35758
1137,-158.0659,21.33965,0.65709,0.75444,0.888,0.56227,0.66075,0.50183,0.60425,0.49944,0.46154,0.35489,0.55861,0.96802,0.62768,0.53473
1140,-158.04293,21.33974,0.36968,0.0,0.69625,0.75711,0.5131,0.20513,0.26148,0.86658,0.35334,0.61045,0.47041,0.41674,0.44767,0.39004
1141,-158.03527,21.33977,0.36968,0.8925,0.35489,0.75711,0.5131,0.20513,0.26148,0.86658,0.35334,0.61045,0.44815,0.49296,0.5131,0.47479
1142,-158.02761,21.3398,0.76796,0.59482,0.89575,0.18893,0.81065,0.57298,0.78261,0.66695,0.39349,0.32249,0.44534,0.82812,0.59573,0.52223
1143,-158.01995,21.33983,0.76627,0.0,0.5772,0.30628,0.50789,0.36982,0.45731,0.61398,0.2295,0.47577,0.55114,0.94914,0.45625,0.38813
1207,-158.1272,21.34668,0.051,0.77867,0.44153,0.21992,0.1823,0.8022,0.43491,0.06283,0.133,0.09017,0.63159,0.89687,0.4094,0.39636
1212,-158.08891,21.34684,0.79093,0.0,0.71879,0.26472,0.27402,0.55804,0.31544,0.73105,0.42251,0.74993,0.5441,0.77402,0.50435,0.4286
1213,-158.08125,21.34687,0.79093,0.0,0.58326,0.26472,0.27402,0.55804,0.31544,0.73105,0.42251,0.74993,0.54494,0.70541,0.4886,0.41353
1214,-158.07359,21.3469,0.91801,0.78402,0.37926,0.34855,0.30896,0.65455,0.67878,0.44548,0.72992,0.755,0.62905,0.99986,0.56891,0.51184
1215,-158.06593,21.34693,0.73767,0.95294,0.40265,0.55649,0.5534,0.49648,0.61074,0.49408,0.46351,0.35686,0.55875,0.98802,0.59769,0.51348
1220,-158.02764,21.34708,0.49084,0.66582,0.80727,0.76698,0.408,0.20189,0.25289,0.87813,0.34644,0.60721,0.44759,0.94505,0.55097,0.50785
1232,-157.93574,21.34741,0.08425,0.0,0.45844,0.1468,0.89504,0.0772,0.85531,0.41195,0.58495,0.67033,0.67075,0.98056,0.50509,0.41526
1260,-157.72131,21.34807,0.84052,0.93083,0.43843,0.52888,0.48295,0.59158,0.69414,0.33911,0.81023,0.84404,0.29741,0.80135,0.61532,0.51842
1261,-157.71365,21.34809,0.02536,0.0,0.0,1.0,0.0,0.0,0.9993,0.0,0.0,0.9993,1.0,0.0,0.30072,0.27074
1286,-158.12723,21.35395,0.02015,0.95337,0.32277,0.07227,0.0,0.02113,0.99817,0.01479,0.02113,0.9366,0.51916,0.43914,0.34843,0.33785
1291,-158.08894,21.35411,0.34446,0.54804,0.55424,0.42392,0.45985,0.62553,0.82897,0.24697,0.36123,0.50183,0.60256,0.95407,0.55121,0.46711
1295,-158.05831,21.35423,0.73767,0.93857,0.34066,0.55649,0.5534,0.49648,0.61074,0.49408,0.46351,0.35686,0.55861,0.80966,0.56828,0.48554
1299,-158.02767,21.35435,0.3122,0.54057,0.9521,0.76078,0.49169,0.21302,0.25782,0.87447,0.34968,0.60355,0.55523,0.66638,0.54707,0.49971
1307,-157.9664,21.35458,0.86799,0.0,0.0,0.20865,0.92026,0.17949,0.86221,0.37334,0.08199,0.9466,1.0,0.0,0.35737,0.30591
1372,-158.08897,21.36139,0.46886,0.81192,0.52057,0.42392,0.52691,0.62553,0.82897,0.24697,0.36123,0.50183,0.60454,0.98648,0.58304,0.50187
1499,-157.73669,21.36986,0.8253,0.86221,0.5069,0.21569,0.20654,0.32375,0.48831,0.20682,0.17554,0.54635,0.10862,0.97253,0.41908,0.37767
1541,-158.02776,21.37618,0.91801,0.0,0.0,0.34855,0.30896,0.65455,0.67878,0.44548,0.72992,0.755,1.0,0.0,0.44354,0.37882
1542,-158.02011,21.37621,0.35531,0.9707,0.37687,0.53818,0.77247,0.65201,0.52494,0.84024,0.83235,0.86841,0.53719,0.34615,0.69252,0.59996
